112,12
5,6
5,3
6,3
5,6
3,6
5,24
1,6
1,3
2,3
1,6
-6,6
-5,24
-6,6
-6,3
-5,3
-6,6
1,6
2,6
1,6
2,6
3,6
5,6
5,3
6,3
5,6
3,6
2,24
5,6
5,3
6,3
5,6
3,6
5,24
2,6
2,3
3,3
2,6
1,6
-6,24
-5,6
-6,6
1,6
2,6
3,6
5,6
2,6
3,6
2,6
2,3
3,3
2,6
-6,6
1,24
6,6
6,3
5,3
3,6
5,6
6,24
5,6
5,3
6,3
5,6
3,6
5,24
2,9
3,3
2,6
1,6
2,6
1,6
-6,6
-5,6
2,18
1,6
3,24
6,6
6,3
5,3
3,6
5,6
6,24
5,6
5,3
6,3
5,6
3,6
5,24
2,9
3,3
2,6
1,6
2,6
1,6
-6,6
-5,6
1,16
3,12
3,6
2,6
1,12
-6,12
2,6
3,6
2,6
3,6
-5,24
-6,12
-6,6
-5,6
-6,12
1,12
5,6
6,6
3,6
5,6
2,24
3,12
3,6
2,6
3,12
5,12
6,6
6,6
6,6
+1,6
6,12
5,6
3,6
2,12
2,6
3,6
5,12
-5,12
2,6
3,6
2,6
3,6
1,24
2,6
3,6
2,6
3,6
5,12
5,6
6,6
+1,12
6,12
+1,24
0,24
3,12
3,6
2,6
1,12
-6,12
2,6
3,6
2,6
3,6
-5,24
-6,12
-6,6
-5,6
-6,12
1,12
5,6
6,6
3,6
5,6
2,24
3,12
3,6
2,6
3,12
5,12
6,6
6,6
6,6
+1,6
6,12
5,6
3,6
2,12
2,6
3,6
5,12
-5,12
2,6
3,6
2,6
3,6
1,24
2,6
3,6
2,6
3,6
5,12
5,6
6,6
+1,12
6,12
+1,24
0,24
-6,6
-6,3
1,3
-6,6
-5,6
-6,6
1,6
2,6
3,6
5,6
6,3
5,3
6,6
2,6
3,24
-6,6
-6,3
1,3
-6,6
-5,6
-6,6
1,6
2,6
3,6
2,6
2,3
3,3
2,6
1,6
2,24
-6,6
-6,3
1,3
-6,6
-5,6
-6,6
1,6
2,6
3,6
5,6
5,3
6,3
5,6
2,6
3,18
3,3
5,3
6,8
6,8
6,8
5,12
3,12
6,24
-6,6
-6,3
-5,3
-6,6
1,6
0,24
3,6
3,3
2,3
3,6
6,6
0,24
6,8
6,8
6,8
5,12
2,12
3,24
-6,6
-6,3
-5,3
-6,6
1,6
0,24
3,6
3,3
2,3
3,6
6,6
0,24
6,8
6,8
6,8
5,12
3,12
6,24
3,9
2,3
3,6
5,6
+1,8
7,8
5,8
6,24
